#Time,X,Y,Z,CONF
000039.100,2.09,2.16,-0.25,95
000039.200,2.09,2.16,-0.37,87
000039.300,2.08,2.11,-0.37,96
000039.400,2.08,2.10,-0.35,98
000039.500,2.07,2.11,-0.41,91
000039.600,2.08,2.13,-0.48,89
000039.700,2.08,2.13,-0.51,91
000039.800,2.07,2.07,-0.54,90
000039.900,2.07,2.10,-0.57,89
000040.000,2.09,2.10,-0.51,97
000040.100,2.08,2.11,-0.46,97
000040.200,2.07,2.13,-0.52,88
000040.300,2.07,2.14,-0.55,90
000040.400,2.06,2.15,-0.59,87
000040.500,2.07,2.16,-0.61,89
000040.600,2.06,2.16,-0.64,88
000040.700,2.06,2.15,-0.50,99
000040.800,2.06,2.15,-0.56,87
000040.900,2.07,2.13,-0.60,87
000041.000,2.07,2.09,-0.55,96
000041.100,2.07,2.11,-0.51,96
000041.200,2.08,2.13,-0.50,94
000041.300,2.07,2.13,-0.56,87
000041.400,2.08,2.14,-0.56,92
000041.500,2.07,2.12,-0.53,95
000041.600,2.00,1.99,-0.26,86
000041.700,2.00,1.98,-0.03,89
000041.810,2.00,1.99,0.06,97
000041.910,1.99,1.95,0.21,88
000042.010,2.01,1.98,0.28,94
000042.110,2.01,2.00,0.36,91
000042.210,2.02,1.97,0.37,95
000042.310,2.03,2.00,0.44,90
000042.410,2.03,2.01,0.36,99
000042.510,2.03,2.04,0.40,93
000042.610,2.01,2.04,0.15,91
000042.710,2.02,2.05,0.03,97
000042.810,2.02,2.07,-0.15,89
000042.910,2.01,2.09,0.05,90
000043.010,1.96,2.03,-0.15,84
000043.110,1.98,2.04,-0.23,94
000043.210,2.00,2.05,-0.31,93
000043.310,2.00,2.06,-0.38,92
000043.410,1.99,2.04,-0.36,97
000043.510,2.00,2.05,-0.44,89
000043.610,1.99,2.06,-0.49,90
000043.710,2.00,2.08,-0.21,90
000043.810,2.00,2.10,0.02,87
000043.910,2.01,2.11,0.19,88
000044.010,2.02,2.14,0.26,94
000044.110,2.05,2.14,0.37,88
000044.210,2.05,2.08,0.46,87
000044.310,2.05,2.04,0.46,95
000044.410,2.05,2.05,0.41,98
000044.510,2.04,2.05,0.33,99
000044.610,2.05,2.06,0.11,93
000044.710,2.05,2.08,0.22,92
000044.810,1.99,2.04,-0.02,86
000044.910,2.00,2.05,-0.19,89
000045.010,2.01,2.06,-0.29,91
000045.110,2.02,2.05,-0.10,94
000045.210,1.98,2.06,-0.25,88
000045.310,1.98,2.07,-0.08,95
000045.410,1.99,2.09,0.09,91
000045.510,2.00,2.10,-0.06,94
000045.610,2.01,2.11,0.12,90
000045.710,2.02,2.12,0.24,91
000045.810,2.03,2.14,0.30,93
000045.910,2.05,2.15,0.38,90
000046.010,2.06,2.15,0.40,95
000046.110,2.07,2.16,0.17,94
000046.210,2.07,2.16,-0.04,89
000046.310,2.06,2.16,-0.12,97
000046.410,2.06,2.17,-0.24,91
000046.510,2.07,2.17,-0.35,89
000046.610,2.06,2.17,-0.32,98
000046.710,2.04,2.16,-0.34,95
000046.820,2.02,2.15,-0.18,97
000046.920,2.03,2.15,-0.01,94
000047.020,2.03,2.15,0.15,91
000047.120,1.95,2.02,-0.06,83
000047.220,1.95,2.04,-0.23,86
000047.320,1.97,2.05,-0.34,89
000047.420,1.97,2.00,-0.42,90
000047.520,1.96,2.00,-0.36,98
000047.620,1.97,2.00,-0.42,91
