#Time,X,Y,Z,CONF
000035.240,1.97,2.02,-0.22,93
000035.340,1.98,2.03,-0.24,98
000035.440,1.98,2.03,-0.23,98
000035.540,1.98,2.03,-0.28,95
000035.640,1.98,2.03,-0.33,94
000035.740,1.97,2.03,-0.33,97
000035.840,1.97,2.04,-0.34,96
000035.940,1.97,2.03,-0.34,97
000036.040,1.97,2.01,-0.07,86
000036.140,1.97,2.00,-0.17,94
000036.240,1.98,2.01,-0.30,88
000036.340,1.99,2.01,-0.32,96
000036.440,1.99,2.02,-0.29,98
000036.540,1.99,2.03,-0.32,96
000036.640,1.98,2.03,-0.43,87
000036.740,1.99,2.03,-0.40,97
000036.840,1.99,2.02,-0.37,98
000036.940,1.99,2.02,-0.41,93
000037.040,1.99,2.02,-0.39,97
000037.140,1.97,2.00,-0.10,86
000037.240,1.98,2.01,-0.17,96
000037.340,1.98,2.02,0.05,88
000037.440,1.98,2.02,-0.08,94
000037.540,1.98,2.02,-0.20,92
000037.640,1.96,2.03,-0.32,89
000037.740,1.96,2.02,-0.07,88
000037.840,1.97,2.03,-0.24,87
000037.940,1.97,2.03,-0.28,96
000038.040,1.98,2.03,-0.31,95
000038.140,1.99,2.02,-0.33,96
000038.240,1.99,2.02,-0.36,95
000038.340,1.99,2.03,-0.31,99
000038.440,1.98,2.01,-0.04,86
000038.540,1.98,2.02,-0.11,97
000038.640,1.98,2.03,-0.14,98
000038.740,1.96,2.00,0.08,86
000038.840,1.95,2.00,0.25,86
000038.940,1.96,2.00,0.09,96
000039.040,1.97,2.01,-0.02,96
000039.140,1.97,2.02,-0.09,98
000039.240,1.98,2.02,-0.17,96
000039.340,1.98,2.03,-0.23,95
000039.440,1.97,2.03,-0.29,94
000039.540,1.98,2.02,-0.28,98
000039.640,1.98,2.02,-0.31,95
000039.740,1.98,2.03,-0.42,87
000039.850,1.98,2.03,-0.41,96
000039.950,1.99,2.03,-0.40,96
000040.050,1.98,2.03,-0.35,98
000040.150,1.97,2.03,-0.36,96
000040.250,1.98,2.03,-0.36,96
000040.350,1.98,2.03,-0.35,97
000040.450,1.98,2.03,-0.36,96
000040.550,1.98,2.02,-0.40,93
000040.650,1.98,2.02,-0.38,97
000040.750,1.98,2.02,-0.38,96
000040.850,1.98,2.02,-0.42,93
000040.950,1.96,2.00,-0.12,86
000041.050,1.96,2.01,-0.19,96
000041.150,1.97,2.02,-0.21,98
000041.250,1.98,2.03,-0.34,87
000041.350,1.98,2.03,-0.36,96
000041.450,1.98,2.01,-0.40,93
000041.550,1.99,2.02,-0.34,99
000041.650,1.98,2.00,-0.09,88
000041.750,1.99,2.01,-0.15,97
000041.850,1.98,1.99,0.07,87
000041.950,1.98,2.00,-0.06,94
000042.050,1.98,1.99,-0.17,94
000042.150,1.97,2.00,-0.22,96
000042.250,1.99,2.00,-0.25,96
000042.350,1.99,2.01,-0.30,95
000042.450,1.98,2.01,-0.34,94
000042.550,1.98,2.02,-0.44,87
000042.650,1.99,2.02,-0.39,98
000042.750,1.99,2.02,-0.38,97
000042.850,1.99,2.02,-0.33,98
000042.950,2.00,2.03,-0.42,89
000043.050,2.00,2.02,-0.45,93
000043.150,1.99,2.02,-0.46,93
000043.250,1.98,2.02,-0.45,95
000043.350,1.99,2.02,-0.43,96
000043.450,1.97,2.01,-0.14,86
000043.550,1.99,2.01,-0.29,87
000043.650,1.97,2.01,-0.32,95
000043.750,1.97,2.02,-0.33,97
000043.850,1.98,2.02,-0.35,95
000043.950,1.98,2.02,-0.34,97
000044.050,1.98,2.01,-0.35,96
000044.150,1.98,2.02,-0.32,98
000044.250,1.98,2.00,-0.07,88
000044.350,1.98,2.01,-0.13,97
000044.450,1.98,2.01,-0.19,96
000044.550,1.98,2.01,-0.22,97
000044.650,1.99,2.02,-0.20,99
000044.750,1.97,2.01,0.04,86
000044.850,1.96,2.02,-0.07,96
000044.960,1.97,2.02,-0.13,97
000045.060,1.97,2.03,-0.29,87
000045.160,1.97,2.02,-0.33,94
000045.260,1.97,2.02,-0.35,96
000045.360,1.98,2.02,-0.37,95
000045.460,1.98,2.02,-0.40,94
000045.560,1.99,2.02,-0.36,98
000045.660,1.99,2.02,-0.39,94
000045.760,1.97,2.03,-0.42,93
000045.860,1.98,2.02,-0.37,98
000045.960,1.98,2.03,-0.37,96
000046.060,1.97,2.03,-0.39,95
000046.160,1.95,2.04,-0.43,92
000046.260,1.95,2.04,-0.44,95
000046.360,1.97,2.03,-0.46,93
000046.460,1.97,2.03,-0.41,98
000046.560,1.97,2.02,-0.12,87
000046.660,1.98,2.02,-0.14,98
000046.760,1.98,2.02,-0.20,96
000046.860,1.98,2.02,-0.23,97
000046.960,1.99,2.02,-0.26,97
000047.060,1.98,2.01,-0.03,89
000047.160,1.99,2.02,-0.21,87
000047.260,1.99,2.02,-0.25,96
000047.360,1.99,2.03,-0.25,98
000047.460,1.99,2.02,-0.29,95
000047.560,2.00,2.02,-0.27,98
000047.660,2.00,2.03,-0.27,98
000047.760,2.00,2.02,-0.28,97
000047.860,1.99,2.02,-0.32,95
000047.960,2.00,2.03,-0.43,87
000048.060,1.99,2.03,-0.40,97
000048.160,1.98,2.01,-0.12,88
000048.260,1.99,2.02,-0.28,87
