#Time,X,Y,Z,CONF
000020.160,1.94,1.99,-0.76,86
000020.260,1.94,2.00,-0.74,89
000020.360,1.93,1.99,-0.73,87
000020.460,1.92,2.00,-0.74,86
000020.560,1.93,1.99,-0.72,90
000020.660,1.95,2.00,-0.64,95
000020.760,1.94,2.00,-0.67,87
000020.860,1.94,2.00,-0.69,86
000020.960,1.96,2.01,-0.66,92
000021.060,1.94,2.00,-0.70,84
000021.160,1.94,2.00,-0.72,85
000021.260,1.93,1.99,-0.74,85
000021.360,1.92,1.98,-0.72,88
000021.460,1.94,2.00,-0.68,93
000021.560,1.93,2.00,-0.71,85
000021.660,1.94,2.00,-0.72,87
000021.760,1.94,1.99,-0.72,87
000021.860,1.93,2.00,-0.73,87
000021.960,1.92,1.99,-0.77,81
000022.070,1.92,1.99,-0.76,87
000022.170,1.92,1.98,-0.76,87
000022.270,1.92,1.98,-0.77,85
000022.370,1.93,1.98,-0.76,87
000022.470,1.93,1.98,-0.77,84
000022.570,1.93,1.97,-0.76,87
000022.670,1.91,1.97,-0.79,82
000022.770,1.91,1.98,-0.76,89
000022.870,1.90,1.98,-0.78,83
000022.970,1.90,1.98,-0.79,84
000023.070,1.89,1.98,-0.79,86
000023.170,1.91,1.98,-0.79,86
000023.270,1.90,1.98,-0.81,82
000023.370,1.91,1.98,-0.81,84
000023.470,1.91,1.97,-0.79,88
000023.570,1.92,1.98,-0.77,88
000023.670,1.91,1.98,-0.79,83
000023.770,1.91,1.98,-0.76,88
000023.870,1.92,1.99,-0.75,88
000023.970,1.92,1.99,-0.75,87
000024.070,1.91,1.99,-0.76,85
000024.170,1.91,1.99,-0.76,85
000024.270,1.92,1.99,-0.77,85
000024.370,1.93,1.99,-0.77,87
000024.470,1.92,1.99,-0.77,86
000024.570,1.92,1.98,-0.77,85
000024.670,1.93,1.97,-0.77,86
000024.770,1.93,1.98,-0.74,89
000024.870,1.92,1.99,-0.77,84
000024.970,1.93,1.99,-0.76,86
000025.070,1.94,1.99,-0.75,88
000025.170,1.94,1.99,-0.75,87
000025.270,1.94,2.00,-0.74,87
000025.370,1.93,1.99,-0.75,86
000025.470,1.93,1.99,-0.74,87
000025.570,1.91,1.98,-0.79,80
000025.670,1.93,1.99,-0.77,88
000025.770,1.92,1.99,-0.79,83
000025.870,1.93,2.00,-0.78,87
000025.970,1.93,2.01,-0.76,88
000026.070,1.91,2.00,-0.78,84
000026.170,1.93,2.00,-0.77,87
000026.270,1.92,1.99,-0.77,86
000026.370,1.92,2.00,-0.76,87
000026.470,1.92,2.00,-0.75,87
000026.570,1.93,2.00,-0.73,90
000026.670,1.92,2.00,-0.74,86
000026.770,1.93,2.00,-0.71,90
000026.870,1.92,1.99,-0.73,85
000026.970,1.93,2.00,-0.71,90
000027.070,1.92,1.99,-0.74,84
000027.180,1.93,1.99,-0.74,87
000027.280,1.94,2.00,-0.75,86
000027.380,1.93,1.99,-0.77,84
000027.480,1.92,1.98,-0.76,87
000027.580,1.91,1.98,-0.78,83
000027.680,1.92,1.99,-0.79,84
000027.780,1.91,1.99,-0.78,87
000027.880,1.92,1.99,-0.77,86
000027.980,1.90,1.99,-0.80,82
000028.080,1.91,1.99,-0.81,84
000028.180,1.90,1.99,-0.82,83
000028.280,1.90,1.99,-0.83,83
000028.380,1.90,2.00,-0.82,85
000028.480,1.92,1.99,-0.81,86
000028.580,1.90,1.97,-0.82,83
000028.680,1.90,1.97,-0.80,87
000028.780,1.91,1.98,-0.83,81
000028.880,1.91,1.98,-0.82,85
000028.980,1.91,1.98,-0.77,90
000029.080,1.93,1.98,-0.74,90
000029.180,1.92,1.99,-0.75,86
000029.280,1.92,1.99,-0.72,90
000029.380,1.91,1.99,-0.73,86
000029.480,1.92,1.99,-0.72,89
000029.580,1.93,2.00,-0.70,90
000029.680,1.93,1.99,-0.74,84
000029.780,1.93,2.00,-0.74,87
000029.880,1.91,1.98,-0.77,82
000029.980,1.92,1.98,-0.77,87
000030.080,1.92,1.99,-0.76,87
000030.180,1.92,1.99,-0.77,85
000030.280,1.92,1.98,-0.78,84
000030.380,1.92,1.99,-0.76,88
000030.480,1.94,1.99,-0.73,90
000030.580,1.94,2.00,-0.75,85
000030.680,1.93,1.99,-0.76,85
000030.780,1.92,1.99,-0.77,86
000030.880,1.92,1.99,-0.80,82
000030.980,1.92,1.98,-0.79,87
000031.080,1.92,1.98,-0.78,87
000031.180,1.92,1.98,-0.78,86
000031.280,1.92,1.98,-0.78,85
000031.380,1.92,1.99,-0.77,87
000031.480,1.95,1.98,-0.77,86
000031.580,1.94,1.99,-0.73,90
000031.680,1.94,1.99,-0.72,88
000031.780,1.94,1.99,-0.72,87
000031.880,1.95,2.00,-0.67,93
000031.980,1.94,2.01,-0.69,86
000032.080,1.93,2.00,-0.71,86
000032.180,1.92,2.00,-0.73,86
000032.290,1.93,2.01,-0.73,87
000032.390,1.93,2.01,-0.74,87
000032.490,1.93,2.00,-0.72,89
000032.590,1.94,2.00,-0.72,88
000032.690,1.94,2.00,-0.72,87
000032.790,1.93,1.99,-0.72,87
