#Time,X,Y,Z,CONF
000172.640,0.62,0.85,0.02,58
000172.740,0.59,0.87,0.11,56
000172.840,0.61,0.83,0.01,81
000172.940,0.65,0.79,-0.09,68
000173.040,0.61,0.84,0.01,59
000173.140,0.58,0.86,0.10,57
000173.240,0.59,0.84,0.13,88
000173.340,0.62,0.80,0.03,82
000173.440,0.66,0.77,-0.08,66
000173.540,0.69,0.74,-0.17,63
000173.640,0.70,0.74,-0.06,83
000173.740,0.69,0.76,-0.10,86
000173.840,0.71,0.75,-0.03,90
000173.940,0.69,0.78,-0.08,84
000174.040,0.69,0.76,0.05,62
000174.140,0.72,0.74,0.14,66
000174.240,0.75,0.72,0.19,69
000174.340,0.75,0.72,0.20,88
000174.440,0.74,0.72,0.20,88
000174.540,0.72,0.72,0.22,84
000174.640,0.73,0.73,0.21,87
000174.740,0.69,0.77,0.14,90
000174.840,0.72,0.75,0.15,90
000174.940,0.73,0.73,0.14,95
000175.040,0.73,0.73,0.15,90
000175.140,0.70,0.77,0.01,60
000175.250,0.71,0.77,0.08,79
000175.350,0.72,0.76,0.13,78
000175.450,0.68,0.81,0.00,56
000175.550,0.69,0.78,0.10,69
000175.650,0.65,0.82,-0.01,61
000175.750,0.68,0.79,-0.12,62
000175.850,0.65,0.82,-0.19,62
000175.950,0.68,0.78,-0.18,92
000176.050,0.68,0.78,-0.07,82
000176.150,0.66,0.79,-0.05,95
000176.250,0.62,0.82,-0.13,61
000176.350,0.65,0.79,-0.16,83
000176.450,0.68,0.76,-0.23,63
000176.550,0.70,0.75,-0.07,65
000176.650,0.73,0.73,0.05,66
000176.750,0.68,0.78,-0.06,57
000176.850,0.67,0.79,-0.07,93
000176.950,0.63,0.83,-0.13,62
000177.050,0.59,0.85,0.00,53
000177.150,0.59,0.85,0.05,84
000177.250,0.58,0.86,0.13,60
000177.350,0.62,0.83,-0.01,61
000177.450,0.61,0.84,0.10,58
000177.550,0.57,0.87,0.17,54
000177.650,0.59,0.85,0.05,77
000177.750,0.62,0.81,-0.06,68
000177.850,0.63,0.80,-0.13,77
000177.950,0.60,0.82,0.01,54
000178.050,0.64,0.80,-0.09,65
000178.150,0.62,0.81,-0.02,85
000178.250,0.59,0.83,0.09,53
000178.350,0.57,0.86,0.16,56
000178.450,0.55,0.87,0.21,60
000178.550,0.54,0.89,0.24,60
000178.650,0.59,0.83,0.14,91
000178.750,0.57,0.87,0.18,62
000178.850,0.62,0.82,0.02,62
000178.950,0.60,0.83,0.12,59
000179.050,0.64,0.78,-0.01,65
000179.150,0.68,0.76,-0.11,67
000179.250,0.64,0.81,-0.16,60
000179.350,0.61,0.84,-0.02,56
000179.450,0.60,0.85,0.08,60
000179.550,0.59,0.86,0.11,79
000179.650,0.59,0.85,0.17,71
000179.750,0.62,0.82,0.06,81
000179.850,0.61,0.84,0.15,60
000179.950,0.59,0.86,0.21,54
000180.050,0.61,0.84,0.23,81
000180.150,0.64,0.81,0.13,90
000180.260,0.64,0.80,-0.01,64
000180.360,0.65,0.78,-0.07,85
000180.460,0.61,0.81,0.05,55
000180.560,0.62,0.81,0.12,76
000180.660,0.65,0.79,0.02,81
000180.760,0.63,0.82,0.11,63
000180.860,0.64,0.81,-0.03,62
000180.960,0.66,0.80,-0.10,79
000181.060,0.68,0.78,0.01,77
000181.160,0.66,0.80,-0.02,91
000181.260,0.63,0.83,-0.11,55
000181.360,0.62,0.84,-0.03,85
000181.460,0.62,0.85,0.08,60
000181.560,0.58,0.87,0.15,57
000181.660,0.59,0.84,0.05,85
000181.760,0.56,0.86,0.11,61
000181.860,0.55,0.89,0.18,54
000181.960,0.55,0.89,0.24,57
000182.060,0.56,0.87,0.24,83
000182.160,0.57,0.85,0.21,92
000182.260,0.56,0.89,0.24,57
000182.360,0.55,0.89,0.28,60
000182.460,0.55,0.89,0.31,57
000182.560,0.54,0.90,0.32,60
000182.660,0.53,0.92,0.35,49
000182.760,0.53,0.92,0.34,60
000182.860,0.52,0.93,0.35,59
000182.960,0.55,0.89,0.18,78
000183.060,0.59,0.85,0.10,95
000183.160,0.57,0.87,0.16,60
000183.260,0.61,0.83,0.03,68
000183.360,0.58,0.86,0.13,51
000183.460,0.57,0.86,0.20,56
000183.560,0.60,0.84,0.08,81
000183.660,0.59,0.85,0.17,57
000183.760,0.62,0.83,0.05,80
000183.860,0.59,0.84,0.13,60
000183.960,0.62,0.80,0.06,93
000184.060,0.59,0.83,0.14,58
000184.160,0.61,0.81,0.04,85
000184.260,0.59,0.85,0.11,59
000184.360,0.60,0.83,-0.02,64
000184.460,0.58,0.86,0.08,53
000184.560,0.61,0.82,-0.01,82
000184.660,0.64,0.80,-0.08,78
000184.760,0.66,0.77,-0.13,81
000184.860,0.65,0.80,-0.16,80
000184.960,0.61,0.83,-0.01,51
000185.060,0.59,0.85,0.09,55
000185.160,0.62,0.82,-0.04,62
000185.270,0.60,0.86,0.07,54
000185.370,0.62,0.83,0.00,90
000185.470,0.65,0.84,-0.03,86
000185.570,0.63,0.85,0.08,57
000185.670,0.65,0.83,-0.02,75
000185.770,0.62,0.84,0.09,55
000185.870,0.64,0.81,0.02,89
000185.970,0.67,0.78,-0.04,87
000186.070,0.70,0.76,0.03,82
000186.170,0.66,0.80,-0.09,55
000186.270,0.68,0.78,0.00,82
000186.370,0.70,0.75,0.03,95
000186.470,0.68,0.79,-0.03,82
000186.570,0.71,0.76,0.07,69
000186.670,0.67,0.81,-0.04,60
000186.770,0.68,0.79,0.08,63
000186.870,0.67,0.79,0.00,85
000186.970,0.64,0.83,-0.10,55
000187.070,0.61,0.86,0.01,60
000187.170,0.58,0.88,0.09,62
000187.270,0.59,0.88,0.17,63
000187.370,0.62,0.84,0.04,76
000187.470,0.59,0.86,0.14,54
000187.570,0.58,0.86,0.20,61
000187.670,0.62,0.82,0.08,82
000187.770,0.61,0.83,0.09,88
000187.870,0.63,0.80,0.02,92
000187.970,0.65,0.83,-0.01,86
000188.070,0.66,0.80,-0.05,93
000188.170,0.69,0.78,0.02,88
000188.270,0.70,0.77,0.08,79
000188.370,0.65,0.82,-0.03,58
000188.470,0.67,0.79,-0.12,65
000188.570,0.65,0.82,-0.20,56
000188.670,0.68,0.78,-0.25,67
000188.770,0.66,0.79,-0.29,61
000188.870,0.61,0.83,-0.30,58
000188.970,0.64,0.80,-0.33,67
000189.070,0.67,0.77,-0.36,62
000189.170,0.66,0.79,-0.32,84
000189.270,0.61,0.82,-0.15,60
000189.370,0.62,0.83,-0.10,93
000189.470,0.63,0.80,-0.11,95
000189.570,0.59,0.83,0.02,51
000189.670,0.57,0.85,0.12,52
000189.770,0.56,0.86,0.19,60
000189.870,0.54,0.88,0.23,58
000189.970,0.56,0.86,0.23,86
000190.070,0.60,0.83,0.10,80
000190.170,0.63,0.80,0.01,85
000190.280,0.65,0.78,-0.10,64
000190.380,0.67,0.77,-0.16,76
000190.480,0.65,0.81,-0.22,56
000190.580,0.68,0.78,-0.21,90
000190.680,0.72,0.76,-0.05,62
000190.780,0.67,0.81,-0.14,58
000190.880,0.65,0.84,-0.19,61
000190.980,0.65,0.82,-0.20,87
000191.080,0.68,0.79,-0.25,66
000191.180,0.64,0.81,-0.29,57
000191.280,0.66,0.78,-0.27,90
000191.380,0.62,0.81,-0.11,59
000191.480,0.62,0.82,0.02,65
000191.580,0.59,0.85,0.11,52
000191.680,0.57,0.87,0.18,58
000191.780,0.52,0.92,0.24,34
000191.880,0.57,0.86,0.14,92
000191.980,0.61,0.83,-0.01,63
000192.080,0.58,0.86,0.08,58
000192.180,0.60,0.83,-0.01,83
000192.280,0.64,0.80,-0.04,92
000192.380,0.66,0.78,-0.11,78
000192.480,0.61,0.82,0.01,54
000192.580,0.62,0.80,-0.05,87
000192.680,0.65,0.78,-0.10,85
000192.780,0.66,0.76,-0.16,77
000192.880,0.62,0.82,-0.01,49
000192.980,0.60,0.83,0.09,58
000193.080,0.59,0.85,0.17,61
000193.180,0.57,0.87,0.22,58
000193.280,0.56,0.87,0.27,58
000193.380,0.60,0.83,0.14,85
000193.480,0.63,0.80,0.05,88
000193.580,0.65,0.78,-0.02,90
000193.680,0.66,0.78,-0.06,89
000193.780,0.64,0.80,0.06,59
000193.880,0.60,0.84,0.15,49
000193.980,0.58,0.86,0.22,55
000194.080,0.57,0.87,0.25,62
000194.180,0.61,0.83,0.09,67
000194.280,0.59,0.86,0.17,53
000194.380,0.57,0.88,0.22,57
000194.480,0.61,0.84,0.10,86
000194.580,0.64,0.81,0.01,80
000194.680,0.62,0.83,0.11,59
000194.780,0.60,0.84,0.19,55
000194.880,0.62,0.81,0.07,83
000194.980,0.62,0.82,0.09,86
000195.080,0.59,0.86,0.15,60
000195.180,0.62,0.83,0.04,80
000195.280,0.65,0.80,-0.01,92
000195.390,0.65,0.79,-0.07,83
000195.490,0.62,0.82,0.05,57
000195.590,0.61,0.84,0.13,60
000195.690,0.58,0.88,0.20,51
000195.790,0.59,0.86,0.25,63
000195.890,0.57,0.87,0.29,56
000195.990,0.55,0.89,0.30,59
000196.090,0.61,0.83,0.12,61
000196.190,0.58,0.86,0.18,56
000196.290,0.56,0.88,0.24,50
000196.390,0.61,0.84,0.08,68
000196.490,0.59,0.85,0.16,61
000196.590,0.62,0.82,0.05,84
000196.690,0.64,0.80,-0.02,85
000196.790,0.66,0.79,-0.08,86
000196.890,0.62,0.81,0.05,54
000196.990,0.65,0.79,-0.01,90
000197.090,0.61,0.82,0.08,61
000197.190,0.59,0.85,0.15,59
000197.290,0.59,0.85,0.21,64
000197.390,0.57,0.88,0.26,53
000197.490,0.61,0.84,0.10,72
000197.590,0.59,0.87,0.16,60
000197.690,0.56,0.89,0.21,58
000197.790,0.60,0.85,0.08,78
000197.890,0.64,0.83,-0.05,63
000197.990,0.61,0.85,0.07,53
000198.090,0.65,0.81,-0.05,64
000198.190,0.66,0.78,-0.11,81
000198.290,0.63,0.80,-0.03,81
000198.390,0.64,0.78,-0.07,89
000198.490,0.61,0.82,0.05,55
000198.590,0.63,0.81,-0.03,85
000198.690,0.64,0.78,-0.08,86
000198.790,0.67,0.76,-0.16,66
000198.890,0.64,0.81,-0.21,60
000198.990,0.67,0.79,-0.23,81
000199.090,0.70,0.77,-0.13,91
000199.190,0.65,0.82,-0.18,60
000199.290,0.62,0.85,-0.05,60
000199.390,0.60,0.85,0.01,85
000199.490,0.62,0.82,-0.05,87
000199.590,0.59,0.84,0.05,60
000199.690,0.57,0.86,0.14,53
000199.790,0.57,0.87,0.21,55
000199.890,0.59,0.85,0.10,86
000199.990,0.57,0.87,0.17,56
000200.090,0.63,0.82,0.03,64
000200.190,0.64,0.80,-0.04,85
000200.290,0.66,0.78,-0.08,91
000200.400,0.69,0.77,-0.17,61
000200.500,0.65,0.81,-0.22,58
000200.600,0.68,0.77,-0.28,62
000200.700,0.70,0.77,-0.10,64
000200.800,0.72,0.76,0.03,61
000200.900,0.71,0.79,-0.06,72
000201.000,0.67,0.83,-0.14,54
000201.100,0.64,0.86,-0.20,61
000201.200,0.63,0.84,-0.21,83
000201.300,0.60,0.85,-0.07,57
000201.400,0.62,0.82,-0.09,93
000201.500,0.61,0.82,0.04,62
000201.600,0.63,0.79,-0.02,89
000201.700,0.61,0.82,0.08,61
000201.800,0.64,0.79,-0.04,69
000201.900,0.63,0.79,0.02,87
000202.000,0.61,0.82,0.12,55
000202.100,0.58,0.84,0.18,60
000202.200,0.63,0.80,0.03,62
000202.300,0.61,0.83,0.12,57
000202.400,0.63,0.82,-0.01,65
000202.500,0.66,0.79,-0.12,62
000202.600,0.64,0.80,-0.03,83
000202.700,0.63,0.81,0.02,87
000202.800,0.66,0.78,-0.09,68
000202.900,0.65,0.79,-0.11,90
000203.000,0.61,0.83,0.01,55
000203.100,0.58,0.85,0.11,56
000203.200,0.63,0.80,-0.02,66
000203.300,0.62,0.82,0.04,79
000203.400,0.64,0.79,-0.02,88
000203.500,0.66,0.78,-0.08,84
000203.600,0.63,0.81,0.03,61
000203.700,0.65,0.79,-0.03,87
000203.800,0.63,0.82,0.08,58
000203.900,0.62,0.83,0.16,62
000204.000,0.63,0.81,0.06,87
000204.100,0.61,0.82,0.15,58
000204.200,0.60,0.84,0.22,58
000204.300,0.57,0.87,0.25,58
000204.400,0.60,0.83,0.15,92
000204.500,0.63,0.80,0.04,83
000204.600,0.62,0.82,0.10,77
000204.700,0.64,0.79,0.02,86
000204.800,0.62,0.82,0.10,61
000204.900,0.61,0.83,0.18,61
000205.000,0.61,0.82,0.20,81
000205.100,0.62,0.80,0.08,81
000205.200,0.65,0.77,-0.04,65
000205.300,0.60,0.81,0.07,50
000205.410,0.58,0.83,0.16,52
000205.510,0.56,0.86,0.21,59
000205.610,0.60,0.83,0.10,85
000205.710,0.64,0.80,0.02,87
000205.810,0.64,0.81,0.09,77
000205.910,0.66,0.78,0.00,84
000206.010,0.68,0.76,-0.03,94
000206.110,0.69,0.75,0.08,65
000206.210,0.65,0.79,-0.03,60
000206.310,0.65,0.81,0.05,77
000206.410,0.64,0.82,0.14,61
000206.510,0.64,0.80,0.04,84
000206.610,0.67,0.77,0.01,97
000206.710,0.66,0.79,-0.04,86
000206.810,0.70,0.78,0.02,86
000206.910,0.71,0.75,0.07,88
000207.010,0.72,0.76,0.12,78
000207.110,0.68,0.79,-0.01,59
000207.210,0.70,0.77,0.10,65
000207.310,0.70,0.77,0.14,81
000207.410,0.71,0.75,0.15,91
000207.510,0.74,0.74,0.22,60
000207.610,0.69,0.78,0.06,57
000207.710,0.65,0.82,-0.05,56
000207.810,0.66,0.80,-0.11,79
000207.910,0.66,0.78,-0.14,86
000208.010,0.69,0.76,-0.00,63
000208.110,0.67,0.79,-0.04,84
000208.210,0.69,0.78,0.04,77
000208.310,0.70,0.78,0.10,80
000208.410,0.73,0.75,0.16,73
000208.510,0.71,0.78,0.05,77
000208.610,0.67,0.82,-0.06,58
