#Time,X,Y,Z,CONF
000152.880,0.63,0.77,0.12,87
000152.980,0.61,0.79,0.20,59
000153.080,0.63,0.78,0.08,83
000153.180,0.63,0.78,0.09,93
000153.280,0.62,0.79,0.16,69
000153.380,0.62,0.79,0.15,92
000153.480,0.64,0.77,0.07,92
000153.580,0.65,0.77,-0.00,87
000153.680,0.63,0.78,0.05,83
000153.780,0.62,0.80,0.13,68
000153.880,0.62,0.79,0.18,75
000153.980,0.64,0.77,0.03,64
000154.080,0.65,0.75,-0.02,93
000154.180,0.63,0.78,0.09,58
000154.280,0.60,0.80,0.17,59
000154.380,0.59,0.82,0.24,57
000154.480,0.60,0.80,0.24,83
000154.580,0.62,0.80,0.12,84
000154.680,0.61,0.82,0.20,57
000154.780,0.62,0.79,0.12,96
000154.880,0.63,0.77,0.05,93
000154.980,0.64,0.77,-0.04,78
000155.080,0.64,0.76,-0.06,96
000155.180,0.63,0.77,0.01,87
000155.280,0.63,0.77,-0.07,81
000155.380,0.61,0.79,-0.00,82
000155.480,0.60,0.80,0.01,91
000155.580,0.61,0.80,0.07,84
000155.690,0.62,0.79,0.08,96
000155.790,0.63,0.77,0.01,91
000155.890,0.63,0.77,0.06,87
000155.990,0.61,0.79,0.15,59
000156.090,0.61,0.78,0.17,85
000156.190,0.60,0.79,0.18,84
000156.290,0.60,0.78,0.08,87
000156.390,0.62,0.76,0.02,91
000156.490,0.63,0.75,0.07,86
000156.590,0.63,0.76,0.13,80
000156.690,0.65,0.74,-0.01,66
000156.790,0.66,0.73,-0.05,91
000156.890,0.66,0.76,-0.10,83
000156.990,0.66,0.76,-0.14,83
000157.090,0.66,0.75,-0.15,93
000157.190,0.67,0.77,-0.17,81
000157.290,0.67,0.76,-0.10,95
000157.390,0.68,0.75,-0.01,86
000157.490,0.67,0.78,-0.12,60
000157.590,0.67,0.79,-0.16,80
000157.690,0.67,0.80,-0.19,76
000157.790,0.66,0.82,-0.25,59
000157.890,0.66,0.79,-0.29,68
000157.990,0.64,0.80,-0.31,65
000158.090,0.64,0.80,-0.29,85
000158.190,0.63,0.80,-0.15,78
000158.290,0.62,0.80,-0.06,85
000158.390,0.60,0.80,0.05,69
000158.490,0.60,0.80,0.09,83
000158.590,0.60,0.79,0.14,82
000158.690,0.61,0.79,0.16,85
000158.790,0.59,0.81,0.22,61
000158.890,0.62,0.78,0.07,72
000158.990,0.63,0.77,-0.01,82
000159.090,0.62,0.79,0.02,89
000159.190,0.60,0.81,0.12,58
000159.290,0.62,0.81,0.14,88
000159.390,0.60,0.81,0.21,59
000159.490,0.61,0.81,0.21,89
000159.590,0.62,0.80,0.21,88
000159.690,0.60,0.82,0.25,62
000159.790,0.61,0.81,0.22,94
000159.890,0.61,0.81,0.27,62
000159.990,0.62,0.81,0.27,81
000160.090,0.62,0.81,0.28,75
000160.190,0.60,0.82,0.32,58
000160.290,0.61,0.80,0.18,85
000160.390,0.59,0.82,0.22,64
000160.490,0.60,0.80,0.22,89
000160.600,0.60,0.79,0.12,91
000160.700,0.62,0.78,0.05,94
000160.800,0.60,0.81,0.14,60
000160.900,0.58,0.82,0.21,56
000161.000,0.56,0.83,0.25,61
000161.100,0.58,0.80,0.13,85
000161.200,0.58,0.80,0.14,89
000161.300,0.58,0.81,0.21,57
000161.400,0.57,0.83,0.25,65
000161.500,0.59,0.81,0.24,89
