#Time,X,Y,Z,CONF
000072.210,0.59,0.81,0.03,84
000072.310,0.57,0.84,0.11,58
000072.410,0.58,0.82,0.03,87
000072.510,0.57,0.83,0.12,59
000072.610,0.57,0.82,0.12,92
000072.710,0.56,0.84,0.20,55
000072.810,0.58,0.81,0.09,88
000072.910,0.58,0.81,0.12,84
000073.010,0.59,0.82,0.20,61
000073.110,0.57,0.84,0.24,62
000073.220,0.58,0.82,0.20,94
000073.320,0.56,0.85,0.25,55
000073.420,0.56,0.85,0.29,61
000073.520,0.57,0.85,0.32,60
000073.620,0.59,0.82,0.19,91
000073.720,0.60,0.80,0.07,79
000073.820,0.59,0.81,0.09,83
000073.920,0.60,0.81,0.07,97
000074.020,0.63,0.77,-0.05,65
000074.120,0.64,0.76,-0.09,91
000074.220,0.62,0.79,0.03,60
000074.320,0.60,0.82,0.12,61
000074.420,0.61,0.80,0.04,89
000074.520,0.59,0.82,0.14,56
000074.620,0.61,0.79,0.05,89
000074.720,0.59,0.83,0.12,60
000074.820,0.58,0.83,0.20,58
000074.920,0.57,0.84,0.25,60
000075.020,0.58,0.83,0.26,79
000075.120,0.61,0.79,0.09,67
000075.220,0.61,0.78,0.11,90
000075.320,0.62,0.78,0.13,91
000075.420,0.63,0.77,0.03,84
000075.520,0.62,0.79,0.12,62
000075.620,0.61,0.80,0.13,89
000075.720,0.60,0.81,0.20,58
000075.820,0.61,0.81,0.25,69
000075.920,0.62,0.79,0.13,89
000076.020,0.63,0.77,0.02,80
000076.120,0.63,0.77,-0.02,92
000076.220,0.60,0.80,0.07,61
000076.320,0.60,0.81,0.09,89
000076.420,0.57,0.82,0.16,60
000076.520,0.56,0.85,0.22,58
000076.620,0.55,0.86,0.27,54
000076.720,0.54,0.87,0.30,57
000076.820,0.55,0.86,0.26,89
000076.920,0.58,0.82,0.13,87
000077.020,0.58,0.83,0.20,63
000077.120,0.56,0.84,0.24,61
000077.220,0.57,0.84,0.29,59
000077.320,0.58,0.84,0.31,67
000077.420,0.60,0.81,0.16,84
000077.520,0.63,0.78,0.08,92
000077.620,0.61,0.79,0.17,60
000077.720,0.61,0.80,0.19,83
000077.820,0.62,0.78,0.09,90
000077.920,0.59,0.80,0.16,61
000078.020,0.61,0.78,0.06,87
000078.120,0.62,0.78,-0.01,86
000078.230,0.63,0.78,-0.06,87
000078.330,0.62,0.79,-0.02,92
000078.430,0.64,0.77,-0.12,67
000078.530,0.65,0.76,-0.12,95
000078.630,0.62,0.79,0.00,65
000078.730,0.63,0.78,0.07,81
000078.830,0.61,0.80,0.15,61
000078.930,0.59,0.80,0.13,92
000079.030,0.60,0.78,0.04,86
000079.130,0.57,0.83,0.13,51
000079.230,0.56,0.84,0.20,55
000079.330,0.59,0.82,0.09,84
000079.430,0.60,0.80,-0.00,82
000079.530,0.58,0.83,0.10,57
000079.630,0.60,0.82,0.03,89
000079.730,0.57,0.84,0.11,60
000079.830,0.57,0.83,0.14,82
000079.930,0.55,0.85,0.20,57
000080.030,0.57,0.84,0.19,92
000080.130,0.55,0.87,0.23,58
000080.230,0.57,0.85,0.11,87
000080.330,0.55,0.86,0.19,53
000080.430,0.58,0.82,0.05,71
000080.530,0.58,0.81,0.10,80
000080.630,0.57,0.83,0.18,57
000080.730,0.58,0.82,0.09,89
000080.830,0.56,0.84,0.16,58
000080.930,0.57,0.84,0.23,59
000081.030,0.59,0.83,0.09,76
000081.130,0.61,0.80,-0.04,64
000081.230,0.61,0.79,0.02,90
000081.330,0.61,0.81,0.11,62
000081.430,0.62,0.79,0.07,97
000081.530,0.60,0.82,0.15,56
000081.630,0.59,0.82,0.18,80
000081.730,0.58,0.82,0.23,65
000081.830,0.60,0.81,0.06,63
000081.930,0.62,0.78,-0.06,67
000082.030,0.61,0.79,-0.01,89
000082.130,0.63,0.77,-0.05,91
000082.230,0.62,0.78,0.03,80
000082.330,0.64,0.76,-0.05,81
000082.430,0.62,0.78,0.03,78
000082.530,0.60,0.81,0.12,56
000082.630,0.60,0.80,0.08,96
000082.730,0.62,0.77,-0.05,65
000082.830,0.59,0.82,0.06,54
000082.930,0.59,0.82,0.10,83
000083.030,0.61,0.80,0.02,89
000083.130,0.62,0.78,-0.03,90
000083.230,0.59,0.80,0.07,64
000083.340,0.58,0.82,0.15,61
000083.440,0.59,0.81,0.16,87
000083.540,0.61,0.80,0.06,86
000083.640,0.59,0.82,0.10,81
000083.740,0.57,0.83,0.16,63
000083.840,0.59,0.81,0.07,89
000083.940,0.60,0.80,0.10,90
000084.040,0.63,0.77,0.02,88
000084.140,0.60,0.79,0.12,57
000084.240,0.59,0.82,0.19,57
000084.340,0.61,0.80,0.08,86
000084.440,0.58,0.81,0.17,55
000084.540,0.57,0.83,0.23,59
000084.640,0.56,0.83,0.27,61
000084.740,0.57,0.82,0.26,84
000084.840,0.58,0.80,0.17,94
000084.940,0.58,0.82,0.22,64
000085.040,0.60,0.78,0.10,84
000085.140,0.62,0.78,0.01,85
000085.240,0.64,0.75,-0.10,66
000085.340,0.64,0.76,-0.13,85
000085.440,0.65,0.74,-0.17,83
000085.540,0.65,0.76,-0.07,85
000085.640,0.61,0.78,0.05,60
000085.740,0.62,0.77,-0.03,84
000085.840,0.61,0.78,-0.00,93
000085.940,0.58,0.82,0.08,61
000086.040,0.57,0.84,0.16,57
000086.140,0.56,0.86,0.22,58
000086.240,0.58,0.84,0.10,82
000086.340,0.57,0.83,0.18,61
000086.440,0.57,0.84,0.23,64
000086.540,0.59,0.81,0.11,85
000086.640,0.58,0.81,0.19,60
000086.740,0.60,0.80,0.06,78
000086.840,0.62,0.78,-0.06,64
000086.940,0.60,0.80,0.05,62
000087.040,0.60,0.79,-0.01,86
000087.140,0.62,0.77,-0.08,81
000087.240,0.60,0.79,0.04,59
000087.340,0.61,0.79,0.08,88
000087.440,0.58,0.80,0.15,65
000087.540,0.61,0.78,0.05,86
000087.640,0.62,0.77,-0.03,81
000087.740,0.63,0.76,-0.08,86
000087.840,0.60,0.78,0.04,60
000087.940,0.57,0.80,0.14,53
000088.040,0.58,0.81,0.21,59
000088.140,0.58,0.81,0.22,81
000088.240,0.56,0.83,0.26,58
000088.350,0.56,0.84,0.30,60
000088.450,0.56,0.84,0.33,59
000088.550,0.58,0.81,0.18,83
000088.650,0.61,0.78,0.08,90
000088.750,0.62,0.77,0.01,89
000088.850,0.65,0.76,-0.10,63
000088.950,0.62,0.79,0.02,62
000089.050,0.59,0.81,0.12,55
000089.150,0.57,0.83,0.19,56
000089.250,0.59,0.81,0.08,84
000089.350,0.58,0.82,0.10,86
000089.450,0.59,0.83,0.11,86
000089.550,0.62,0.80,0.04,91
000089.650,0.61,0.81,0.07,85
000089.750,0.58,0.83,0.16,55
000089.850,0.58,0.83,0.16,87
000089.950,0.59,0.82,0.17,89
000090.050,0.61,0.81,0.09,94
