#Time,X,Y,Z,CONF
000046.530,0.71,0.77,0.12,76
000046.630,0.72,0.76,0.17,77
000046.730,0.73,0.75,0.23,61
000046.830,0.70,0.78,0.09,70
000046.930,0.66,0.83,-0.01,59
000047.030,0.66,0.81,-0.10,70
000047.130,0.66,0.81,-0.18,66
000047.230,0.62,0.85,-0.21,58
000047.330,0.65,0.83,-0.25,71
000047.430,0.65,0.82,-0.28,71
000047.530,0.64,0.80,-0.30,73
000047.630,0.66,0.79,-0.31,75
000047.730,0.68,0.77,-0.15,76
000047.830,0.69,0.77,-0.03,75
000047.930,0.70,0.77,0.05,77
000048.030,0.71,0.76,0.12,76
000048.130,0.71,0.75,0.16,80
000048.230,0.73,0.75,0.19,80
000048.330,0.74,0.74,0.19,87
000048.430,0.73,0.75,0.22,77
000048.540,0.73,0.75,0.25,76
000048.640,0.74,0.75,0.27,74
000048.740,0.74,0.75,0.30,69
000048.840,0.69,0.81,0.13,54
000048.940,0.70,0.79,0.17,78
000049.040,0.71,0.77,0.23,69
000049.140,0.72,0.78,0.25,72
000049.240,0.72,0.77,0.28,74
000049.340,0.73,0.75,0.27,82
000049.440,0.72,0.76,0.31,66
000049.540,0.73,0.75,0.32,73
000049.640,0.67,0.81,0.13,48
000049.740,0.68,0.79,0.19,71
000049.840,0.69,0.79,0.23,71
000049.940,0.71,0.78,0.25,79
000050.040,0.72,0.77,0.24,85
000050.140,0.66,0.82,0.08,49
000050.240,0.68,0.80,0.14,75
000050.340,0.70,0.79,0.18,78
000050.440,0.69,0.78,0.22,75
000050.540,0.71,0.76,0.22,85
000050.640,0.67,0.82,0.07,52
000050.740,0.68,0.81,0.16,64
000050.840,0.69,0.79,0.19,80
000050.940,0.70,0.78,0.19,90
000051.040,0.72,0.78,0.22,73
000051.140,0.72,0.77,0.21,90
000051.240,0.73,0.77,0.23,78
000051.340,0.73,0.77,0.26,74
000051.440,0.73,0.76,0.27,79
000051.540,0.67,0.82,0.10,50
000051.640,0.69,0.79,0.15,79
000051.740,0.64,0.84,0.01,47
000051.840,0.65,0.82,-0.09,70
000051.940,0.66,0.80,-0.14,79
000052.040,0.67,0.78,-0.17,84
000052.140,0.68,0.77,-0.05,76
000052.240,0.70,0.77,0.04,79
000052.340,0.71,0.77,0.11,72
000052.440,0.72,0.76,0.17,74
000052.540,0.73,0.75,0.17,91
000052.640,0.73,0.77,0.23,60
000052.740,0.68,0.82,0.07,51
000052.840,0.70,0.79,0.10,89
000052.940,0.72,0.77,0.12,88
000053.040,0.72,0.79,0.20,60
000053.140,0.73,0.78,0.23,76
000053.240,0.73,0.77,0.26,69
000053.340,0.74,0.77,0.27,79
000053.440,0.74,0.77,0.29,72
000053.540,0.74,0.77,0.30,72
000053.650,0.75,0.77,0.29,81
000053.750,0.74,0.77,0.31,69
000053.850,0.74,0.76,0.33,68
000053.950,0.68,0.81,0.14,51
000054.050,0.71,0.80,0.19,72
000054.150,0.72,0.79,0.23,71
000054.250,0.72,0.78,0.26,75
000054.350,0.66,0.82,0.08,49
000054.450,0.70,0.79,0.12,83
000054.550,0.71,0.79,0.18,73
000054.650,0.72,0.79,0.22,71
000054.750,0.72,0.78,0.25,73
000054.850,0.66,0.83,0.09,49
000054.950,0.66,0.82,-0.02,73
000055.050,0.62,0.85,0.06,62
000055.150,0.62,0.83,-0.05,68
000055.250,0.63,0.84,-0.13,70
000055.350,0.65,0.81,-0.17,81
000055.450,0.65,0.81,-0.23,64
000055.550,0.66,0.80,-0.28,64
000055.650,0.60,0.83,-0.11,50
000055.750,0.62,0.81,-0.17,76
000055.850,0.63,0.80,-0.23,64
000055.950,0.60,0.83,-0.07,51
000056.050,0.61,0.81,-0.14,70
000056.150,0.61,0.79,-0.17,84
000056.250,0.63,0.78,-0.21,78
000056.350,0.65,0.77,-0.25,71
000056.450,0.65,0.76,-0.25,87
000056.550,0.66,0.75,-0.27,73
000056.650,0.66,0.76,-0.31,66
000056.750,0.66,0.76,-0.32,72
000056.850,0.64,0.81,-0.35,51
000056.950,0.65,0.79,-0.32,87
000057.050,0.65,0.78,-0.30,87
000057.150,0.65,0.78,-0.32,70
000057.250,0.65,0.76,-0.32,78
000057.350,0.62,0.80,-0.17,68
000057.450,0.63,0.78,-0.20,80
000057.550,0.65,0.78,-0.23,78
000057.650,0.61,0.82,-0.07,51
000057.750,0.62,0.80,-0.15,69
000057.850,0.58,0.84,-0.01,49
000057.950,0.60,0.81,-0.09,74
000058.050,0.61,0.81,-0.10,92
000058.150,0.61,0.80,-0.17,73
000058.250,0.62,0.80,-0.21,72
000058.350,0.64,0.79,-0.25,75
000058.450,0.65,0.78,-0.27,74
000058.550,0.67,0.77,-0.29,73
000058.650,0.69,0.76,-0.15,79
000058.760,0.70,0.75,-0.01,66
000058.860,0.71,0.74,0.08,74
000058.960,0.73,0.73,0.17,62
000059.060,0.72,0.73,0.20,79
000059.160,0.72,0.73,0.25,68
000059.260,0.73,0.73,0.27,74
000059.360,0.73,0.73,0.28,77
000059.460,0.74,0.72,0.24,95
000059.560,0.75,0.72,0.22,89
000059.660,0.75,0.73,0.25,73
000059.760,0.73,0.74,0.28,73
000059.860,0.73,0.75,0.31,66
000059.960,0.73,0.75,0.32,73
000060.060,0.72,0.76,0.34,67
000060.160,0.72,0.76,0.34,73
000060.260,0.72,0.76,0.34,75
000060.360,0.72,0.75,0.31,85
000060.460,0.73,0.75,0.33,71
000060.560,0.73,0.75,0.33,72
000060.660,0.73,0.74,0.34,74
000060.760,0.73,0.74,0.30,89
000060.860,0.74,0.74,0.29,82
000060.960,0.68,0.79,0.13,55
000061.060,0.70,0.77,0.11,96
000061.160,0.70,0.75,0.17,73
000061.260,0.71,0.74,0.21,76
000061.360,0.71,0.73,0.23,84
000061.460,0.73,0.73,0.25,75
000061.560,0.72,0.75,0.28,66
000061.660,0.73,0.74,0.31,70
000061.760,0.67,0.81,0.13,50
000061.860,0.67,0.80,0.20,67
000061.960,0.68,0.79,0.25,68
000062.060,0.70,0.78,0.26,78
000062.160,0.70,0.77,0.26,82
000062.260,0.71,0.76,0.28,76
000062.360,0.72,0.76,0.30,68
000062.460,0.72,0.76,0.31,74
000062.560,0.73,0.76,0.31,76
000062.660,0.73,0.77,0.33,67
000062.760,0.74,0.75,0.29,91
000062.860,0.74,0.75,0.29,77
000062.960,0.74,0.74,0.31,75
000063.060,0.74,0.75,0.32,67
000063.160,0.74,0.74,0.32,77
000063.260,0.75,0.74,0.29,88
000063.360,0.76,0.74,0.29,78
000063.460,0.75,0.74,0.29,82
000063.560,0.76,0.72,0.29,79
000063.660,0.70,0.79,0.14,60
000063.760,0.67,0.83,0.00,54
000063.870,0.69,0.81,0.09,70
000063.970,0.71,0.80,0.15,74
000064.070,0.72,0.79,0.19,75
000064.170,0.67,0.83,0.04,50
000064.270,0.68,0.81,0.12,69
000064.370,0.67,0.84,-0.00,64
000064.470,0.68,0.82,0.09,69
000064.570,0.70,0.80,0.13,82
000064.670,0.71,0.77,0.16,84
000064.770,0.67,0.83,0.02,49
000064.870,0.68,0.80,0.10,71
000064.970,0.70,0.79,0.13,86
000065.070,0.66,0.84,-0.00,50
000065.170,0.66,0.80,-0.06,88
000065.270,0.68,0.79,0.03,77
000065.370,0.69,0.78,0.10,77
000065.470,0.70,0.76,0.17,73
000065.570,0.71,0.77,0.22,69
000065.670,0.72,0.76,0.25,74
000065.770,0.68,0.81,0.08,53
000065.870,0.71,0.79,0.12,85
000065.970,0.65,0.84,-0.02,47
000066.070,0.61,0.86,0.06,66
000066.170,0.63,0.83,-0.04,73
000066.270,0.60,0.87,0.05,59
000066.370,0.61,0.86,-0.06,66
000066.470,0.63,0.81,-0.11,86
000066.570,0.64,0.80,-0.16,78
000066.670,0.65,0.78,-0.19,82
000066.770,0.66,0.77,-0.22,77
000066.870,0.67,0.76,-0.26,69
000066.970,0.69,0.76,-0.09,62
000067.070,0.71,0.75,0.01,75
000067.170,0.72,0.76,0.08,79
000067.270,0.67,0.81,-0.04,51
000067.370,0.69,0.80,0.05,71
000067.470,0.70,0.78,0.12,75
000067.570,0.70,0.77,0.15,86
000067.670,0.71,0.76,0.20,75
