#Time,X,Y,Z,CONF
000028.270,2.02,2.18,0.04,96
000028.370,2.03,2.19,0.15,94
000028.470,2.00,2.14,-0.07,88
000028.570,2.00,2.17,0.06,94
000028.670,2.03,2.17,0.21,90
000028.770,2.03,2.18,0.26,95
000028.870,2.04,2.16,0.33,92
000028.970,2.03,2.14,0.30,99
000029.070,2.04,2.15,0.35,93
000029.170,2.04,2.14,0.44,89
000029.270,2.04,2.17,0.44,95
000029.370,2.03,2.19,0.42,95
000029.470,2.03,2.20,0.41,96
000029.570,1.99,2.15,0.14,88
000029.670,2.01,2.17,0.20,95
000029.770,2.02,2.18,0.23,97
000029.870,2.01,2.20,0.35,88
000029.970,2.02,2.19,0.43,89
000030.070,2.01,2.17,0.38,98
000030.170,2.01,2.19,0.39,95
000030.270,2.02,2.18,0.34,99
000030.370,2.03,2.19,0.36,95
000030.470,2.02,2.20,0.34,97
000030.570,1.99,2.17,0.22,98
000030.670,2.03,2.15,0.05,94
000030.770,2.02,2.17,0.11,97
000030.870,2.02,2.16,0.19,95
000030.970,2.02,2.18,0.24,96
000031.070,2.03,2.19,0.28,95
000031.170,2.00,2.15,0.17,99
000031.270,2.01,2.18,0.24,95
000031.370,2.00,2.19,0.30,93
000031.470,2.01,2.18,0.41,88
000031.570,2.02,2.18,0.45,91
000031.670,2.04,2.17,0.49,91
000031.770,2.00,2.12,0.18,87
000031.870,2.01,2.14,0.19,98
000031.970,2.01,2.17,0.20,97
000032.070,2.02,2.17,0.22,97
000032.170,1.99,2.13,-0.01,87
000032.270,2.01,2.15,0.03,99
000032.370,1.99,2.10,-0.16,87
000032.470,1.99,2.08,-0.31,86
000032.570,1.98,2.08,-0.15,97
000032.670,1.99,2.12,-0.22,95
000032.770,1.99,2.12,-0.08,96
000032.880,2.00,2.14,0.05,95
000032.980,2.01,2.16,0.12,96
000033.080,2.01,2.15,0.27,88
000033.180,2.02,2.16,0.30,96
000033.280,2.03,2.17,0.34,95
000033.380,2.04,2.17,0.12,93
000033.480,2.04,2.20,0.27,87
000033.580,2.06,2.18,0.13,97
000033.680,2.07,2.20,0.02,97
000033.780,2.04,2.23,-0.17,86
000033.880,2.02,2.26,0.05,87
000033.980,2.04,2.23,-0.04,97
000034.080,2.06,2.19,-0.08,99
000034.180,2.09,2.19,0.02,97
000034.280,2.09,2.21,-0.11,94
000034.380,2.09,2.22,-0.19,95
000034.480,2.10,2.20,0.01,91
000034.580,2.09,2.19,-0.18,86
000034.680,2.11,2.18,-0.07,97
000034.780,2.10,2.18,-0.17,94
000034.880,2.10,2.21,-0.26,93
000034.980,2.09,2.22,-0.26,97
000035.080,2.08,2.22,-0.37,87
000035.180,2.08,2.24,-0.39,94
000035.280,2.06,2.25,-0.48,87
000035.380,2.10,2.22,-0.30,98
000035.480,2.07,2.19,-0.31,96
000035.580,2.06,2.21,-0.41,87
000035.680,2.05,2.22,-0.38,97
000035.780,2.05,2.22,-0.16,93
000035.880,2.04,2.21,0.04,90
000035.980,2.05,2.22,0.21,87
000036.080,2.06,2.19,0.32,90
000036.180,2.05,2.21,0.08,90
000036.280,2.06,2.21,0.10,99
000036.380,2.05,2.22,-0.11,86
