#Time,X,Y,Z,CONF
000025.940,4.54,4.47,0.49,94
000026.040,4.54,4.48,0.65,94
000026.150,4.56,4.50,0.67,97
000026.250,4.56,4.47,0.53,99
000026.350,4.55,4.47,0.30,99
000026.450,4.53,4.47,0.34,99
000026.550,4.49,4.44,0.04,96
000026.650,4.51,4.46,0.29,94
000026.750,4.46,4.40,-0.06,93
000026.850,4.47,4.41,-0.23,97
000026.950,4.49,4.44,0.07,95
000027.050,4.51,4.44,0.20,98
000027.150,4.46,4.39,-0.13,93
000027.250,4.49,4.41,-0.34,95
000027.350,4.51,4.43,-0.19,99
000027.450,4.52,4.45,0.14,94
000027.550,4.54,4.47,0.34,95
000027.650,4.50,4.43,-0.02,93
000027.750,4.43,4.37,-0.29,93
000027.850,4.47,4.41,0.04,94
000027.950,4.46,4.39,-0.24,94
000028.050,4.49,4.43,0.03,96
000028.150,4.51,4.46,0.28,95
000028.250,4.48,4.44,-0.06,94
000028.350,4.50,4.46,0.23,94
000028.450,4.53,4.46,0.45,94
000028.550,4.53,4.48,0.60,94
000028.650,4.53,4.48,0.23,96
000028.750,4.54,4.49,0.25,99
000028.850,4.52,4.48,-0.00,97
000028.950,4.53,4.48,-0.19,97
000029.050,4.54,4.48,0.02,98
000029.150,4.55,4.50,0.23,96
000029.250,4.52,4.46,-0.08,94
000029.350,4.52,4.46,-0.32,94
000029.450,4.53,4.46,-0.15,99
000029.550,4.52,4.47,-0.02,99
000029.650,4.49,4.45,-0.14,98
000029.750,4.47,4.42,-0.30,96
000029.850,4.49,4.43,-0.14,99
000029.950,4.50,4.44,0.02,98
000030.050,4.52,4.46,0.13,98
000030.150,4.45,4.38,-0.18,93
000030.250,4.48,4.42,0.12,95
000030.350,4.48,4.41,-0.19,94
000030.450,4.50,4.44,0.13,94
000030.550,4.52,4.47,0.37,94
000030.650,4.53,4.48,0.21,99
000030.750,4.53,4.49,0.42,94
000030.850,4.52,4.49,0.58,94
000030.960,4.53,4.49,0.57,98
000031.060,4.50,4.46,0.14,93
000031.160,4.52,4.48,0.33,96
000031.260,4.52,4.49,0.37,98
000031.360,4.52,4.49,0.54,94
000031.460,4.48,4.44,0.12,93
000031.560,4.49,4.47,0.34,95
000031.660,4.51,4.49,0.49,95
000031.760,4.52,4.49,0.64,94
000031.860,4.53,4.49,0.61,98
000031.960,4.51,4.46,0.21,94
000032.060,4.47,4.41,-0.12,93
000032.160,4.49,4.43,0.04,98
000032.260,4.50,4.44,0.32,94
000032.360,4.51,4.47,0.48,95
000032.460,4.51,4.47,0.64,94
000032.560,4.51,4.47,0.40,99
000032.660,4.52,4.48,0.58,94
000032.760,4.53,4.48,0.52,99
000032.860,4.55,4.49,0.48,99
000032.960,4.57,4.51,0.61,95
000033.060,4.56,4.51,0.35,99
000033.160,4.54,4.48,0.16,98
000033.260,4.55,4.48,0.39,94
000033.360,4.48,4.42,0.01,93
000033.460,4.47,4.41,-0.14,98
000033.560,4.43,4.38,-0.38,93
000033.660,4.47,4.42,-0.01,94
000033.760,4.50,4.44,0.12,98
000033.860,4.51,4.45,0.20,99
000033.960,4.51,4.46,-0.11,94
000034.060,4.46,4.41,-0.36,93
000034.160,4.41,4.37,-0.54,93
