#Time,X,Y,Z,CONF
000020.610,0.69,0.60,0.13,98
000020.710,0.69,0.60,0.19,75
000020.810,0.70,0.60,0.23,74
000020.910,0.70,0.60,0.24,83
000021.010,0.69,0.61,0.09,72
000021.110,0.70,0.61,0.16,71
000021.210,0.69,0.61,0.19,82
000021.310,0.71,0.60,0.22,77
000021.410,0.69,0.60,0.09,78
000021.510,0.69,0.60,0.15,76
000021.610,0.70,0.61,0.20,72
000021.710,0.68,0.62,0.08,82
000021.810,0.69,0.62,-0.03,74
000021.910,0.69,0.62,0.08,69
000022.010,0.70,0.61,0.14,76
000022.110,0.70,0.60,0.18,78
000022.210,0.69,0.61,0.23,73
000022.310,0.70,0.60,0.25,76
000022.410,0.71,0.59,0.27,75
000022.510,0.70,0.60,0.29,74
000022.610,0.70,0.60,0.30,76
000022.710,0.70,0.60,0.32,69
000022.820,0.70,0.60,0.34,70
000022.920,0.69,0.60,0.36,65
000023.020,0.70,0.60,0.36,70
000023.120,0.69,0.61,0.21,84
000023.220,0.68,0.62,0.08,80
000023.320,0.69,0.61,0.15,73
000023.420,0.69,0.61,0.21,70
000023.520,0.68,0.62,0.08,79
000023.620,0.68,0.62,0.15,73
000023.720,0.69,0.61,0.19,76
000023.820,0.70,0.60,0.23,74
000023.920,0.70,0.59,0.24,81
000024.020,0.71,0.59,0.26,78
000024.120,0.71,0.58,0.27,78
000024.220,0.71,0.58,0.29,71
000024.320,0.71,0.58,0.30,76
000024.420,0.70,0.59,0.30,81
000024.520,0.69,0.60,0.22,99
000024.620,0.69,0.60,0.25,73
000024.720,0.70,0.60,0.28,71
000024.820,0.70,0.59,0.30,75
000024.920,0.70,0.60,0.13,72
000025.020,0.71,0.60,0.19,70
000025.120,0.72,0.59,0.24,67
000025.220,0.71,0.61,0.12,86
000025.320,0.71,0.60,0.16,83
000025.420,0.71,0.60,0.20,77
000025.520,0.71,0.60,0.24,73
000025.620,0.71,0.60,0.26,76
000025.720,0.69,0.61,0.11,77
000025.820,0.70,0.60,0.16,78
000025.920,0.70,0.61,0.22,71
000026.020,0.69,0.61,0.07,70
000026.120,0.70,0.60,0.12,78
000026.220,0.70,0.59,0.17,79
000026.320,0.70,0.59,0.21,76
000026.420,0.71,0.59,0.25,72
