#Time,X,Y,Z,CONF
000271.680,0.56,0.84,0.18,78
000271.780,0.53,0.84,0.23,56
000271.880,0.58,0.80,0.15,96
000271.980,0.61,0.79,0.00,63
000272.080,0.63,0.76,-0.08,79
000272.180,0.63,0.76,-0.11,86
000272.280,0.59,0.80,0.02,53
000272.380,0.56,0.83,0.11,52
000272.480,0.57,0.81,0.02,85
000272.580,0.56,0.84,0.12,56
000272.680,0.56,0.84,0.19,61
000272.780,0.54,0.87,0.23,56
000272.890,0.55,0.87,0.22,84
000272.990,0.57,0.83,0.10,86
000273.090,0.56,0.86,0.17,53
000273.190,0.55,0.87,0.24,54
000273.290,0.52,0.88,0.27,56
000273.390,0.56,0.84,0.19,98
000273.490,0.59,0.83,0.03,63
000273.590,0.57,0.85,0.12,57
000273.690,0.56,0.84,0.16,76
000273.790,0.55,0.86,0.22,57
000273.890,0.58,0.84,0.07,66
000273.990,0.56,0.86,0.16,52
000274.090,0.61,0.82,0.02,70
000274.190,0.62,0.80,-0.03,91
000274.290,0.63,0.79,-0.07,89
000274.390,0.65,0.77,-0.16,63
000274.490,0.67,0.75,-0.15,95
000274.590,0.62,0.79,-0.20,62
000274.690,0.65,0.76,-0.25,66
000274.790,0.65,0.76,-0.24,88
000274.890,0.62,0.80,-0.09,62
000274.990,0.64,0.78,-0.11,93
000275.090,0.60,0.82,0.00,58
000275.190,0.57,0.85,0.09,57
000275.290,0.57,0.84,0.13,81
000275.390,0.54,0.87,0.17,60
000275.490,0.53,0.88,0.22,56
000275.590,0.51,0.90,0.26,56
000275.690,0.53,0.89,0.30,57
000275.790,0.51,0.90,0.33,51
000275.890,0.49,0.90,0.35,48
000275.990,0.54,0.87,0.16,64
000276.090,0.53,0.88,0.20,61
000276.190,0.57,0.85,0.04,64
000276.290,0.60,0.82,-0.07,63
000276.390,0.62,0.80,-0.11,90
000276.490,0.60,0.81,-0.04,85
000276.590,0.57,0.84,0.06,57
000276.690,0.60,0.82,0.02,96
000276.790,0.56,0.85,0.12,49
000276.890,0.56,0.84,0.20,60
000276.990,0.59,0.80,0.07,78
000277.090,0.63,0.78,-0.06,63
000277.190,0.59,0.83,0.06,46
000277.290,0.60,0.82,-0.06,63
000277.390,0.56,0.83,0.05,57
000277.490,0.59,0.81,-0.07,63
000277.590,0.62,0.80,-0.16,63
000277.690,0.63,0.78,-0.18,86
000277.790,0.64,0.76,-0.20,84
000277.900,0.61,0.79,-0.10,79
000278.000,0.64,0.77,-0.08,98
000278.100,0.59,0.81,0.04,50
000278.200,0.58,0.83,0.12,62
000278.300,0.55,0.87,0.19,49
000278.400,0.53,0.89,0.25,51
000278.500,0.52,0.90,0.27,58
000278.600,0.51,0.91,0.29,57
000278.700,0.50,0.92,0.30,61
000278.800,0.56,0.86,0.12,66
000278.900,0.59,0.82,0.01,78
000279.000,0.61,0.79,-0.05,86
000279.100,0.60,0.81,0.07,57
000279.200,0.63,0.78,-0.05,68
000279.300,0.60,0.81,0.07,55
000279.400,0.64,0.78,-0.06,64
000279.500,0.64,0.77,-0.09,89
000279.600,0.62,0.79,0.03,59
000279.700,0.61,0.80,0.06,90
000279.800,0.60,0.80,0.11,79
000279.900,0.55,0.84,0.17,51
000280.000,0.56,0.83,0.12,94
000280.100,0.55,0.85,0.18,61
000280.200,0.53,0.88,0.21,62
000280.300,0.57,0.83,0.13,97
000280.400,0.54,0.86,0.20,50
000280.500,0.53,0.87,0.24,56
000280.600,0.59,0.82,0.08,64
000280.700,0.57,0.85,0.16,56
000280.800,0.59,0.83,0.01,63
000280.900,0.56,0.84,0.11,55
000281.000,0.55,0.86,0.19,54
000281.100,0.58,0.85,0.09,87
000281.200,0.60,0.81,-0.02,78
000281.300,0.61,0.79,-0.12,63
000281.400,0.63,0.78,-0.16,85
000281.500,0.61,0.78,-0.05,77
000281.600,0.61,0.77,-0.09,86
000281.700,0.60,0.79,-0.03,87
000281.800,0.60,0.78,-0.10,81
000281.900,0.62,0.77,-0.12,90
000282.000,0.63,0.76,-0.14,91
000282.100,0.65,0.76,-0.21,62
000282.200,0.62,0.80,-0.07,59
000282.300,0.62,0.80,-0.12,81
000282.400,0.63,0.78,-0.20,63
000282.500,0.60,0.81,-0.05,57
000282.600,0.62,0.79,-0.14,64
000282.700,0.65,0.77,-0.22,63
000282.800,0.66,0.77,-0.27,61
000282.910,0.68,0.76,-0.12,76
000283.010,0.68,0.75,-0.08,98
000283.110,0.65,0.80,-0.16,55
000283.210,0.61,0.82,-0.01,52
000283.310,0.60,0.83,0.09,60
000283.410,0.63,0.80,-0.03,65
000283.510,0.61,0.80,0.03,82
000283.610,0.58,0.84,0.11,60
000283.710,0.60,0.81,0.02,88
000283.810,0.60,0.79,-0.03,89
000283.910,0.62,0.78,-0.04,97
000284.010,0.65,0.77,-0.12,70
000284.110,0.66,0.75,-0.16,82
000284.210,0.68,0.73,-0.22,69
000284.310,0.63,0.78,-0.25,59
000284.410,0.59,0.82,-0.11,60
000284.510,0.61,0.80,-0.14,90
000284.610,0.59,0.82,0.00,56
000284.710,0.62,0.79,-0.02,96
000284.810,0.61,0.81,0.09,58
000284.910,0.59,0.82,0.17,55
000285.010,0.56,0.85,0.23,56
