#Time,X,Y,Z,CONF
000043.220,0.54,0.89,0.29,55
000043.320,0.54,0.90,0.31,60
000043.420,0.52,0.92,0.34,49
000043.520,0.51,0.92,0.35,56
000043.620,0.55,0.87,0.23,96
000043.720,0.54,0.88,0.27,60
000043.820,0.52,0.90,0.29,56
000043.920,0.52,0.89,0.32,54
000044.020,0.51,0.91,0.34,52
000044.120,0.57,0.85,0.15,62
000044.220,0.60,0.82,0.00,64
000044.320,0.58,0.83,0.07,74
000044.420,0.58,0.83,0.09,85
000044.520,0.56,0.85,0.17,58
000044.620,0.59,0.83,0.01,62
000044.720,0.60,0.81,-0.02,96
000044.820,0.61,0.79,-0.08,83
000044.920,0.62,0.78,-0.12,83
000045.020,0.58,0.82,-0.01,60
000045.120,0.59,0.80,-0.09,78
000045.220,0.57,0.83,0.03,60
000045.320,0.61,0.79,-0.08,68
000045.420,0.57,0.83,0.03,55
000045.520,0.59,0.81,-0.04,85
000045.620,0.56,0.83,0.07,54
000045.720,0.54,0.86,0.14,57
000045.820,0.49,0.91,0.21,34
000045.920,0.49,0.91,0.24,60
000046.020,0.55,0.86,0.08,67
000046.120,0.58,0.82,-0.02,80
000046.220,0.59,0.81,-0.07,85
000046.320,0.61,0.78,-0.12,87
000046.420,0.62,0.77,-0.14,87
000046.520,0.63,0.77,-0.14,96
000046.620,0.60,0.80,-0.00,57
000046.720,0.57,0.83,0.10,55
000046.820,0.54,0.86,0.17,52
000046.920,0.57,0.83,0.11,97
000047.020,0.61,0.80,-0.02,65
000047.120,0.59,0.83,0.08,59
000047.220,0.57,0.84,0.17,55
000047.320,0.55,0.85,0.23,53
000047.420,0.57,0.81,0.12,89
000047.520,0.54,0.84,0.18,54
000047.620,0.53,0.85,0.25,54
000047.720,0.52,0.87,0.27,60
000047.820,0.58,0.83,0.10,66
000047.920,0.60,0.80,0.02,87
000048.020,0.59,0.81,0.05,85
000048.130,0.57,0.83,0.14,60
000048.230,0.58,0.80,0.02,78
000048.330,0.55,0.84,0.10,57
000048.430,0.56,0.85,0.18,61
000048.530,0.54,0.87,0.22,56
000048.630,0.57,0.84,0.12,90
000048.730,0.60,0.82,-0.01,66
000048.830,0.60,0.83,0.03,87
000048.930,0.58,0.84,0.09,74
000049.030,0.62,0.80,-0.04,65
000049.130,0.64,0.78,-0.09,86
000049.230,0.65,0.76,-0.10,94
000049.330,0.68,0.75,-0.18,67
000049.430,0.62,0.80,-0.23,52
000049.530,0.59,0.83,-0.08,54
000049.630,0.62,0.80,-0.17,62
000049.730,0.58,0.83,-0.03,56
000049.830,0.62,0.79,-0.08,88
000049.930,0.62,0.78,-0.11,89
000050.030,0.64,0.76,-0.19,63
000050.130,0.66,0.75,-0.26,62
000050.230,0.63,0.77,-0.11,67
000050.330,0.64,0.76,-0.11,95
000050.430,0.65,0.76,-0.10,97
000050.530,0.65,0.75,-0.14,84
000050.630,0.61,0.80,-0.03,60
000050.730,0.62,0.79,-0.04,96
000050.830,0.63,0.78,-0.07,94
000050.930,0.61,0.82,0.05,57
000051.030,0.64,0.79,-0.07,65
000051.130,0.61,0.82,0.05,56
000051.230,0.59,0.83,0.08,84
000051.330,0.63,0.79,-0.04,68
000051.430,0.66,0.78,-0.13,64
000051.530,0.66,0.77,-0.15,88
000051.630,0.62,0.81,-0.21,58
000051.730,0.64,0.78,-0.22,86
000051.830,0.65,0.78,-0.27,63
000051.930,0.64,0.77,-0.27,83
000052.030,0.60,0.81,-0.11,59
000052.130,0.58,0.83,0.02,58
000052.230,0.57,0.84,0.11,62
000052.330,0.55,0.87,0.17,56
000052.430,0.58,0.84,0.06,84
000052.530,0.55,0.85,0.15,52
000052.630,0.54,0.86,0.22,54
000052.730,0.54,0.86,0.17,88
000052.840,0.58,0.83,0.08,89
000052.940,0.56,0.86,0.15,56
000053.040,0.55,0.86,0.22,57
000053.140,0.57,0.83,0.09,82
000053.240,0.61,0.80,-0.03,64
000053.340,0.58,0.83,0.06,60
000053.440,0.55,0.86,0.13,58
000053.540,0.58,0.83,0.06,94
000053.640,0.59,0.80,-0.02,83
000053.740,0.56,0.83,0.09,53
000053.840,0.54,0.85,0.16,58
000053.940,0.53,0.86,0.22,53
000054.040,0.52,0.88,0.26,60
000054.140,0.55,0.85,0.14,87
000054.240,0.53,0.87,0.18,58
000054.340,0.52,0.88,0.23,60
000054.440,0.55,0.85,0.08,72
000054.540,0.56,0.85,0.10,86
000054.640,0.59,0.81,0.02,87
000054.740,0.61,0.79,-0.06,83
000054.840,0.62,0.77,-0.10,86
000054.940,0.58,0.81,0.02,51
000055.040,0.59,0.79,-0.09,63
000055.140,0.60,0.78,-0.12,87
000055.240,0.59,0.80,0.01,59
000055.340,0.61,0.78,-0.05,86
000055.440,0.59,0.80,0.07,55
000055.540,0.62,0.78,0.03,97
000055.640,0.63,0.76,-0.05,80
000055.740,0.64,0.74,-0.14,66
000055.840,0.59,0.79,-0.00,46
000055.940,0.61,0.78,-0.11,64
000056.040,0.57,0.82,0.02,54
000056.140,0.59,0.80,0.09,78
