#Time,X,Y,Z,CONF
000067.270,0.57,0.84,0.11,55
000067.370,0.60,0.82,-0.02,63
000067.470,0.57,0.85,0.08,55
000067.570,0.57,0.84,0.13,76
000067.670,0.59,0.82,0.04,85
000067.770,0.59,0.83,0.09,77
000067.870,0.56,0.86,0.15,62
000067.970,0.58,0.83,0.04,81
000068.070,0.58,0.84,0.09,80
000068.170,0.60,0.81,-0.00,84
000068.270,0.62,0.79,-0.08,78
000068.370,0.60,0.81,0.00,73
000068.470,0.59,0.83,0.10,59
000068.570,0.57,0.85,0.19,54
000068.670,0.60,0.82,0.05,73
000068.770,0.59,0.83,0.12,71
000068.870,0.55,0.80,0.19,65
000068.970,0.53,0.83,0.23,55
000069.070,0.55,0.81,0.10,77
000069.170,0.58,0.79,0.02,89
000069.280,0.56,0.82,0.12,54
000069.380,0.59,0.80,0.03,87
000069.480,0.59,0.81,0.07,83
000069.580,0.56,0.83,0.08,81
000069.680,0.59,0.80,0.01,89
000069.780,0.56,0.84,0.10,52
000069.880,0.54,0.87,0.17,54
000069.980,0.53,0.90,0.21,59
000070.080,0.53,0.89,0.22,75
000070.180,0.56,0.86,0.12,91
000070.280,0.58,0.83,0.03,87
000070.380,0.55,0.86,0.13,49
000070.480,0.59,0.83,0.07,95
000070.580,0.62,0.80,-0.02,82
000070.680,0.59,0.83,0.08,60
000070.780,0.57,0.85,0.15,58
000070.880,0.56,0.87,0.20,60
000070.980,0.60,0.83,0.04,62
000071.080,0.60,0.83,0.08,85
000071.180,0.63,0.80,-0.05,62
000071.280,0.61,0.83,0.06,62
000071.380,0.58,0.86,0.12,61
000071.480,0.62,0.81,-0.01,68
000071.580,0.63,0.78,-0.11,65
000071.680,0.64,0.76,-0.11,95
000071.780,0.62,0.79,0.02,58
000071.880,0.57,0.81,0.10,58
000071.980,0.57,0.83,0.18,58
000072.080,0.60,0.79,0.03,65
000072.180,0.64,0.78,-0.02,90
000072.280,0.60,0.82,0.07,62
000072.380,0.56,0.84,0.16,50
000072.480,0.57,0.83,0.16,89
000072.580,0.61,0.79,0.02,70
000072.680,0.59,0.82,0.12,60
000072.780,0.58,0.84,0.12,80
000072.880,0.61,0.81,-0.02,64
000072.980,0.58,0.84,0.08,57
000073.080,0.59,0.81,-0.01,82
000073.180,0.57,0.85,0.07,61
000073.280,0.56,0.87,0.15,58
000073.380,0.61,0.83,0.06,90
000073.480,0.62,0.81,0.13,75
000073.580,0.63,0.80,0.04,86
000073.680,0.64,0.78,0.01,97
000073.780,0.66,0.76,-0.02,96
000073.880,0.67,0.74,0.06,82
000073.980,0.68,0.74,0.10,87
000074.080,0.68,0.73,0.14,82
000074.190,0.64,0.78,0.02,61
000074.290,0.60,0.81,0.11,56
000074.390,0.57,0.84,0.19,54
000074.490,0.55,0.87,0.23,58
000074.590,0.55,0.86,0.20,89
000074.690,0.60,0.80,0.06,74
000074.790,0.57,0.83,0.15,55
000074.890,0.61,0.79,0.09,97
000074.990,0.61,0.79,-0.01,80
000075.090,0.62,0.78,-0.07,84
000075.190,0.59,0.82,0.05,57
000075.290,0.62,0.79,0.02,98
000075.390,0.65,0.77,-0.09,62
000075.490,0.66,0.76,-0.14,84
000075.590,0.62,0.80,0.00,54
000075.690,0.58,0.83,0.09,58
000075.790,0.60,0.81,-0.04,64
000075.890,0.59,0.81,-0.01,91
000075.990,0.57,0.83,0.03,80
000076.090,0.61,0.80,-0.04,85
000076.190,0.63,0.78,-0.09,86
000076.290,0.63,0.77,-0.17,67
000076.390,0.64,0.77,-0.24,62
000076.490,0.65,0.76,-0.26,78
000076.590,0.66,0.74,-0.24,90
000076.690,0.61,0.79,-0.10,57
000076.790,0.58,0.82,0.01,60
000076.890,0.55,0.86,0.10,55
000076.990,0.55,0.87,0.18,55
000077.090,0.57,0.82,0.04,69
000077.190,0.54,0.83,0.12,59
000077.290,0.57,0.81,0.01,81
000077.390,0.56,0.85,0.11,52
000077.490,0.57,0.84,0.03,86
000077.590,0.60,0.81,-0.05,79
000077.690,0.62,0.79,-0.09,88
000077.790,0.64,0.76,-0.09,97
000077.890,0.65,0.77,-0.17,68
000077.990,0.66,0.75,-0.16,94
000078.090,0.66,0.75,-0.17,89
000078.190,0.66,0.75,-0.16,95
000078.290,0.65,0.75,-0.19,82
000078.390,0.63,0.80,-0.04,53
000078.490,0.59,0.83,0.06,58
000078.590,0.56,0.84,0.14,58
000078.690,0.54,0.85,0.20,61
000078.790,0.53,0.88,0.24,55
000078.890,0.57,0.84,0.18,98
000078.990,0.60,0.81,0.08,89
000079.090,0.61,0.79,0.04,97
000079.200,0.61,0.78,-0.05,78
000079.300,0.59,0.82,0.06,56
000079.400,0.56,0.85,0.13,61
000079.500,0.54,0.87,0.20,53
000079.600,0.53,0.88,0.25,55
000079.700,0.57,0.85,0.09,67
000079.800,0.54,0.87,0.15,59
000079.900,0.52,0.88,0.21,51
000080.000,0.55,0.84,0.12,94
000080.100,0.53,0.86,0.18,57
000080.200,0.58,0.83,0.03,63
000080.300,0.60,0.80,-0.05,83
000080.400,0.62,0.78,-0.09,89
000080.500,0.59,0.82,0.03,55
000080.600,0.61,0.80,-0.08,67
000080.700,0.61,0.78,-0.12,86
000080.800,0.63,0.78,-0.19,67
000080.900,0.63,0.77,-0.21,83
000081.000,0.63,0.78,-0.21,86
000081.100,0.63,0.77,-0.21,88
000081.200,0.60,0.80,-0.07,58
000081.300,0.62,0.79,-0.08,95
000081.400,0.63,0.77,-0.14,77
000081.500,0.61,0.79,-0.05,81
000081.600,0.61,0.78,-0.11,83
000081.700,0.59,0.81,0.02,57
000081.800,0.62,0.79,-0.00,97
000081.900,0.58,0.83,0.08,60
000082.000,0.60,0.81,-0.02,80
000082.100,0.58,0.82,0.09,58
000082.200,0.62,0.79,0.04,95
000082.300,0.62,0.78,-0.03,87
000082.400,0.58,0.82,0.08,53
000082.500,0.60,0.80,0.01,91
000082.600,0.58,0.84,0.11,53
000082.700,0.59,0.82,0.02,84
000082.800,0.61,0.80,-0.03,91
000082.900,0.64,0.78,-0.13,66
000083.000,0.61,0.81,-0.03,71
000083.100,0.61,0.80,-0.08,84
000083.200,0.58,0.84,0.03,58
000083.300,0.62,0.81,-0.09,63
000083.400,0.58,0.84,0.03,56
000083.500,0.55,0.87,0.12,53
000083.600,0.53,0.88,0.18,56
000083.700,0.51,0.90,0.22,59
000083.800,0.51,0.90,0.27,51
000083.900,0.50,0.91,0.29,56
000084.000,0.54,0.87,0.15,82
000084.110,0.58,0.84,0.02,73
000084.210,0.60,0.82,-0.05,84
000084.310,0.57,0.85,0.07,51
000084.410,0.59,0.83,0.00,90
000084.510,0.60,0.81,-0.05,89
000084.610,0.62,0.80,-0.12,76
000084.710,0.58,0.83,-0.00,57
000084.810,0.60,0.81,-0.04,94
000084.910,0.62,0.79,-0.06,95
000085.010,0.65,0.77,-0.08,94
000085.110,0.61,0.81,0.04,57
000085.210,0.57,0.85,0.11,55
000085.310,0.59,0.82,0.07,97
000085.410,0.59,0.82,0.10,81
000085.510,0.61,0.80,0.04,95
000085.610,0.59,0.83,0.13,58
000085.710,0.58,0.83,0.16,77
000085.810,0.61,0.82,0.09,93
000085.910,0.62,0.80,-0.00,82
000086.010,0.59,0.83,0.08,62
000086.110,0.61,0.79,-0.02,80
000086.210,0.62,0.77,-0.11,67
000086.310,0.60,0.82,-0.00,59
000086.410,0.63,0.79,-0.02,96
000086.510,0.60,0.82,0.09,54
000086.610,0.58,0.84,0.17,54
000086.710,0.57,0.84,0.19,79
000086.810,0.55,0.85,0.24,56
000086.910,0.59,0.81,0.14,91
000087.010,0.60,0.79,-0.01,63
000087.110,0.62,0.78,-0.11,62
000087.210,0.64,0.83,-0.17,63
000087.310,0.64,0.81,-0.18,90
000087.410,0.65,0.79,-0.15,98
000087.510,0.62,0.82,-0.08,81
000087.610,0.63,0.79,-0.12,87
000087.710,0.64,0.78,-0.19,64
000087.810,0.60,0.82,-0.05,56
000087.910,0.61,0.82,-0.04,95
000088.010,0.63,0.78,-0.07,92
000088.110,0.64,0.77,-0.16,65
000088.210,0.60,0.82,-0.04,59
000088.310,0.62,0.79,-0.14,63
000088.410,0.62,0.79,-0.17,81
000088.510,0.59,0.82,-0.03,54
000088.610,0.61,0.80,-0.09,84
000088.710,0.62,0.80,-0.14,78
000088.810,0.58,0.84,-0.01,54
000088.910,0.57,0.84,0.03,85
000089.010,0.57,0.85,0.06,84
000089.120,0.55,0.86,0.15,58
000089.220,0.59,0.82,0.07,92
000089.320,0.56,0.83,0.12,68
000089.420,0.54,0.86,0.18,56
