#Time,X,Y,Z,CONF
000073.980,0.53,0.87,0.24,57
000074.080,0.52,0.88,0.27,58
000074.180,0.51,0.89,0.30,54
000074.280,0.55,0.86,0.12,64
000074.380,0.59,0.82,0.05,93
000074.480,0.61,0.80,-0.07,63
000074.580,0.63,0.78,-0.07,97
000074.680,0.64,0.78,-0.16,62
000074.780,0.64,0.77,-0.17,89
000074.880,0.61,0.80,-0.03,56
000074.980,0.61,0.80,-0.08,85
000075.080,0.58,0.83,0.03,58
000075.190,0.60,0.81,-0.02,94
000075.280,0.59,0.83,0.08,62
000075.390,0.63,0.81,0.00,85
000075.490,0.64,0.78,-0.00,99
000075.590,0.63,0.80,0.04,86
000075.690,0.60,0.83,0.13,57
000075.790,0.63,0.80,-0.01,62
000075.890,0.59,0.83,0.07,61
000075.990,0.58,0.84,0.15,58
000076.090,0.56,0.88,0.20,59
000076.190,0.59,0.84,0.11,94
000076.290,0.61,0.81,0.03,87
000076.390,0.63,0.78,-0.03,88
000076.490,0.63,0.77,-0.07,91
000076.590,0.65,0.76,-0.15,69
000076.690,0.62,0.79,-0.01,57
000076.790,0.64,0.78,-0.10,66
000076.890,0.60,0.82,0.01,56
000076.990,0.57,0.84,0.11,56
000077.090,0.56,0.86,0.18,57
000077.190,0.58,0.82,0.08,88
000077.290,0.61,0.80,0.01,89
000077.390,0.62,0.78,-0.10,63
000077.490,0.59,0.81,0.03,55
000077.590,0.57,0.85,0.10,61
000077.690,0.61,0.82,-0.03,66
000077.790,0.62,0.80,-0.05,96
000077.890,0.61,0.79,0.03,83
000077.990,0.61,0.78,-0.03,89
000078.090,0.64,0.77,-0.13,64
000078.190,0.65,0.76,-0.16,83
000078.290,0.65,0.76,-0.19,83
000078.390,0.67,0.74,-0.25,62
000078.490,0.67,0.74,-0.13,85
000078.590,0.65,0.77,-0.15,80
000078.690,0.61,0.81,-0.01,53
000078.790,0.58,0.83,0.09,59
000078.890,0.55,0.86,0.16,55
000078.990,0.54,0.86,0.23,53
000079.090,0.51,0.88,0.24,63
000079.190,0.50,0.89,0.27,60
000079.290,0.54,0.84,0.14,87
000079.390,0.52,0.87,0.20,54
000079.490,0.53,0.88,0.25,59
000079.590,0.53,0.88,0.29,57
000079.690,0.57,0.85,0.12,68
000079.790,0.54,0.87,0.19,49
000079.890,0.56,0.84,0.09,87
000079.990,0.59,0.80,-0.01,80
000080.090,0.61,0.79,-0.06,89
000080.190,0.57,0.83,0.04,57
000080.290,0.56,0.86,0.13,57
000080.390,0.59,0.85,-0.01,61
000080.500,0.61,0.83,-0.11,65
000080.600,0.61,0.83,0.02,61
000080.700,0.58,0.85,0.12,53
000080.800,0.60,0.81,0.00,75
000080.900,0.58,0.80,0.05,90
000081.000,0.61,0.77,-0.02,86
000081.100,0.58,0.81,0.08,55
000081.200,0.56,0.84,0.17,51
000081.300,0.59,0.81,0.08,91
000081.400,0.61,0.79,-0.01,82
000081.500,0.58,0.81,0.10,54
000081.600,0.56,0.84,0.18,51
000081.700,0.55,0.86,0.22,61
000081.800,0.53,0.85,0.18,86
000081.900,0.52,0.87,0.22,61
000082.000,0.51,0.87,0.27,53
000082.100,0.56,0.83,0.10,63
000082.200,0.56,0.86,0.16,64
000082.300,0.54,0.86,0.21,60
