#Time,X,Y,Z,CONF
000058.150,0.62,0.79,-0.11,89
000058.250,0.63,0.78,-0.15,85
000058.350,0.65,0.77,-0.22,63
000058.450,0.61,0.79,-0.06,56
000058.550,0.62,0.77,-0.07,97
000058.650,0.59,0.81,0.04,56
000058.750,0.60,0.80,-0.03,85
000058.850,0.58,0.85,0.06,60
000058.950,0.55,0.87,0.14,53
000059.050,0.54,0.88,0.19,62
000059.150,0.57,0.84,0.07,83
000059.250,0.55,0.86,0.15,55
000059.350,0.55,0.86,0.22,57
000059.450,0.52,0.88,0.26,51
000059.550,0.53,0.87,0.30,59
000059.650,0.52,0.89,0.32,56
000059.750,0.58,0.84,0.13,64
000059.850,0.57,0.83,0.17,76
000059.950,0.56,0.85,0.23,58
000060.050,0.55,0.88,0.27,51
000060.150,0.54,0.89,0.30,57
000060.250,0.52,0.89,0.32,56
000060.350,0.52,0.89,0.28,82
000060.450,0.54,0.88,0.31,65
000060.550,0.55,0.87,0.27,85
000060.650,0.59,0.83,0.16,91
000060.750,0.62,0.80,0.08,92
000060.850,0.61,0.81,0.10,86
000060.950,0.59,0.83,0.10,84
000061.050,0.62,0.79,0.05,96
000061.150,0.60,0.80,0.08,85
000061.250,0.61,0.78,-0.01,85
000061.350,0.63,0.76,-0.07,86
000061.450,0.64,0.75,-0.10,91
000061.550,0.63,0.78,0.04,58
000061.650,0.65,0.75,-0.07,69
000061.760,0.66,0.75,-0.14,73
000061.860,0.61,0.79,0.00,51
000061.960,0.59,0.81,0.03,82
000062.060,0.62,0.78,-0.04,83
000062.160,0.58,0.82,0.04,62
000062.260,0.56,0.83,0.14,55
000062.360,0.57,0.81,0.16,84
000062.460,0.62,0.78,0.03,71
000062.560,0.59,0.80,0.12,60
000062.660,0.60,0.79,0.05,90
000062.760,0.63,0.76,-0.07,67
000062.860,0.59,0.80,0.05,54
000062.960,0.60,0.80,-0.04,80
000063.060,0.62,0.78,-0.10,80
000063.160,0.58,0.82,0.00,60
000063.260,0.58,0.83,0.06,81
000063.360,0.61,0.79,-0.06,68
000063.460,0.59,0.81,-0.01,84
000063.560,0.58,0.82,0.10,59
000063.660,0.62,0.80,-0.03,64
000063.760,0.61,0.80,0.00,90
000063.860,0.58,0.84,0.09,57
000063.960,0.56,0.85,0.17,57
000064.060,0.58,0.82,0.03,70
000064.160,0.57,0.84,0.12,59
000064.260,0.60,0.80,0.03,84
000064.360,0.58,0.84,0.11,60
000064.460,0.61,0.81,0.06,96
